dataset,method,test_acc
cora,baseline,0.5962529274004684
cora,baseline,0.5896955503512881
cora,baseline,0.6084309133489462
cora,baseline,0.5747072599531616
cora,baseline,0.5911007025761124
cora,baseline,0.5934426229508196
cora,baseline,0.5934426229508196
cora,baseline,0.5639344262295082
cora,baseline,0.5845433255269321
cora,baseline,0.5943793911007026
cora,baseline,0.5672131147540984
cora,baseline,0.5840749414519907
cora,baseline,0.5868852459016394
cora,baseline,0.5775175644028103
cora,baseline,0.54192037470726
cora,baseline,0.6037470725995316
cora,baseline,0.5409836065573771
cora,baseline,0.6023419203747072
cora,baseline,0.5920374707259953
cora,baseline,0.6098360655737705
cora,baseline,0.5540983606557377
cora,baseline,0.5784543325526932
cora,baseline,0.5723653395784544
cora,baseline,0.5775175644028103
cora,baseline,0.5887587822014052
cora,baseline,0.5639344262295082
cora,baseline,0.600936768149883
cora,baseline,0.5784543325526932
cora,baseline,0.57096018735363
cora,baseline,0.6037470725995316
cora,baseline,0.5555035128805621
cora,baseline,0.5737704918032787
cora,baseline,0.5896955503512881
cora,baseline,0.5845433255269321
cora,baseline,0.6234192037470726
cora,baseline,0.6187353629976581
cora,baseline,0.54192037470726
cora,baseline,0.5672131147540984
cora,baseline,0.6037470725995316
cora,baseline,0.6028103044496487
cora,baseline,0.5494145199063232
cora,baseline,0.5822014051522248
cora,baseline,0.5906323185011709
cora,baseline,0.54192037470726
cora,baseline,0.5236533957845433
cora,baseline,0.5822014051522248
cora,baseline,0.5798594847775176
cora,baseline,0.5939110070257612
cora,baseline,0.5775175644028103
cora,baseline,0.5976580796252927
cora,baseline,0.6004683840749414
cora,baseline,0.5653395784543326
cora,baseline,0.5836065573770491
cora,baseline,0.5653395784543326
cora,baseline,0.5456674473067916
cora,baseline,0.5990632318501171
cora,baseline,0.5957845433255269
cora,baseline,0.5718969555035128
cora,baseline,0.5868852459016394
cora,baseline,0.5686182669789227
cora,baseline,0.5559718969555035
cora,baseline,0.5302107728337236
cora,baseline,0.57096018735363
cora,baseline,0.6192037470725995
cora,baseline,0.5836065573770491
cora,baseline,0.5442622950819672
cora,baseline,0.5939110070257612
